fold,sample_id,segment_idx,recovered_pcc,left_pcc,right_pcc,best_input_abs_pcc,pcc_gain_over_best_input,rmse,mae,target_std
0,48,39,0.6807137982397798,-0.0423859986533733,0.014363886354680328,0.0423859986533733,0.6383277995864065,0.005154166082167637,0.003384066084474273,0.006693802197713687
0,1,461,0.9274040905412838,0.39979587027693864,0.27505273219471527,0.39979587027693864,0.5276082202643452,142.18461373836718,112.94901442705095,379.675049256627
0,40,39,0.6523371187756336,-0.04579156566493456,0.4240015975124953,0.4240015975124953,0.22833552126313833,0.0018315301417683246,0.0014116912791994282,0.0023562646632012086
0,23,112,0.9222087767234319,0.612739013515213,0.3291236086150925,0.612739013515213,0.30946976320821895,150.99401935774276,117.68335500759929,390.3656250097003
0,1,554,0.9264387982783673,0.4466607643147975,0.23085540609485325,0.4466607643147975,0.47977803396356977,140.74721026056085,110.6570048086241,373.8305547233563
0,31,22,0.8927559499168597,0.3006935307384705,0.37957328176834315,0.37957328176834315,0.5131826681485165,132.62733147934574,103.77367880265116,293.54773871399107
0,44,4,0.609130132277324,-0.03582864198578862,0.3662888441506122,0.3662888441506122,0.24284128812671185,0.0028774088419239664,0.0022066361081100297,0.0036124335344974337
0,42,126,0.8294093421612901,-0.008702467936850528,0.6692477207533051,0.6692477207533051,0.16016162140798507,0.0027869055346192305,0.002177046957540006,0.004986188439404077
0,7,93,0.8999342900587981,0.5502384148168126,0.13603786739680443,0.5502384148168126,0.34969587524198553,163.3052094728255,127.60911679950357,374.3753796538828
0,21,147,0.8767085618779555,0.5199562217434459,0.10767021161748133,0.5199562217434459,0.3567523401345096,162.2893322274846,126.44197137439846,337.23421545256735
0,50,26,0.8139630829398554,-0.037677529112218326,0.19236852536804286,0.19236852536804286,0.6215945575718126,0.0017669844830468765,0.0014396095682732949,0.0030305490392793784
0,33,80,0.8933939839383973,0.37778743010335875,0.3659753026209784,0.37778743010335875,0.5156065538350385,348.3580762958119,208.39540621660947,762.6899987382917
0,19,33,0.9560107857315601,0.5538981799455474,0.1791055946411368,0.5538981799455474,0.4021126057860127,110.64801020852762,84.81438927887976,376.0697641277648
0,21,286,0.9594938196736806,0.15996995018728982,0.15901267155078155,0.15996995018728982,0.7995238694863909,260.60151110703777,189.7050454861449,924.6339973248449
0,29,217,0.9590089413794695,0.056144066460427064,0.06024316679651779,0.06024316679651779,0.8987657745829517,515.0477716452448,281.8580760203302,1812.9331229038137
0,8,117,0.8801610222767312,0.5505999066522924,0.176331858716309,0.5505999066522924,0.3295611156244388,190.88331237531065,114.90801633042098,398.52699711477845
0,46,113,0.7030807568284061,-0.06235637856717598,0.1423848249175522,0.1423848249175522,0.5606959319108539,0.002412566702666524,0.0017838720386568411,0.0033785743398718738
0,17,322,0.8999638676754448,0.36981270376088926,0.06667112995840233,0.36981270376088926,0.5301511639145555,257.4766100773994,170.775982282494,580.5694024932603
0,13,413,0.8938420405301806,0.15561088378303478,0.041261091114044385,0.15561088378303478,0.7382311567471458,107.19140278208623,82.64297904706895,238.99043884014753
0,3,190,0.9050980382518468,0.10050359113645942,0.27352404921226225,0.27352404921226225,0.6315739890395845,120.14758163683886,93.81865559930037,281.7119767791366
0,27,173,0.9689799866137678,0.6971391132599603,0.6960060641069333,0.6971391132599603,0.2718408733538076,168.54040825467587,134.45201823420524,680.9932142295985
0,43,53,0.8037493104739374,0.22519358453305002,0.40228862768967677,0.40228862768967677,0.4014606827842606,0.003983079831689675,0.0031323913146560018,0.006694568110026944
0,30,133,0.9225169631301046,0.5100708395536575,0.34899789543956033,0.5100708395536575,0.41244612357644705,194.66546311286382,151.40258136265277,503.8978592365556
0,7,3,0.8891919216732033,0.3921372592179955,0.21661130193537018,0.3921372592179955,0.49705466245520774,168.62452190729698,127.3625449235171,368.34014804804747
0,28,16,0.96261363347672,0.7987527607027466,0.4757363984462729,0.7987527607027466,0.16386087277397343,149.96084821011397,114.80761292492747,552.4808189498399
0,1,380,0.9069300437931292,0.26518089942299516,0.16018764326903273,0.26518089942299516,0.6417491443701341,138.98003772413858,107.03300923487726,329.10490537361227
0,1,534,0.9419730165504816,0.43782072889775075,0.2308322768929869,0.43782072889775075,0.5041522876527309,128.99161007855227,101.79407413623333,383.99081133472976
0,22,141,0.9217085160103791,0.4471341819497009,0.2197465240274365,0.4471341819497009,0.47457433406067817,214.47493128130745,167.80251479483917,552.4739742816621
0,21,280,0.9073244170407934,0.47777038077267947,0.05059994736880342,0.47777038077267947,0.4295540362681139,140.8695324864037,107.40020781571864,334.7683299951248
0,5,13,0.8417605086600509,0.03412751761848578,0.03733391490791481,0.03733391490791481,0.8044265937521361,225.6382931020979,175.48859559998513,417.4572147783154
0,1,688,0.9306360662939706,0.4142899443418358,0.21655027967826,0.4142899443418358,0.5163461219521348,139.49294470850023,108.39144413734674,380.10571354515906
0,21,39,0.86145274965779,-0.019129258796156397,-0.025314674863922044,0.025314674863922044,0.8361380747938679,2162.4921359881528,1250.7786794231952,3443.807927559369
0,20,277,0.8828951503846665,0.463475372272711,0.10876317713617861,0.463475372272711,0.41941977811195547,205.4388400419909,157.81262359589041,437.0209301131874
